t;v
11.07;88.985
11.08;88.985
11.09;88.925
11.1;88.925
11.11;88.89
11.12;88.89
11.13;88.905
11.14;88.905
11.15;88.875
11.16;88.875
11.17;88.875
11.18;88.875
11.19;88.86
11.2;88.86
11.21;88.86
11.22;88.86
11.23;88.86
11.24;88.86
11.25;88.865
11.26;88.865
11.27;88.84
11.28;88.84
11.29;88.82
11.3;88.82
11.31;88.725
11.32;88.725
11.33;88.745
11.34;88.745
11.35;88.73
11.36;88.73
11.37;88.715
11.38;88.715
11.39;88.665
11.4;88.665
11.41;88.615
11.42;88.615
11.43;88.62
11.44;88.62
11.45;88.61
11.46;88.61
11.47;88.57
11.48;88.57
11.49;88.575
11.5;88.575
11.51;88.565
11.52;88.565
11.53;88.515
11.54;88.515
11.55;88.47
11.56;88.47
11.57;88.445
11.58;88.445
11.59;88.445
11.6;88.445
11.61;88.445
11.62;88.445
11.63;88.465
11.64;88.465
11.65;88.395
11.66;88.395
11.67;88.395
11.68;88.395
11.69;88.405
11.7;88.405
11.71;88.41
11.72;88.41
11.73;88.335
11.74;88.335
11.75;88.34
11.76;88.34
11.77;88.295
11.78;88.295
11.79;88.28
11.8;88.28
11.81;88.24
11.82;88.24
11.83;88.25
11.84;88.25
11.85;88.2
11.86;88.2
11.87;88.195
11.88;88.195
11.89;88.165
11.9;88.165
11.91;88.105
11.92;88.105
11.93;88.125
11.94;88.125
11.95;88.07
11.96;88.07
11.97;88.09
11.98;88.09
11.99;88.07
12;88.07
12.01;88.055
12.02;88.055
12.03;88.07
12.04;88.07
12.05;88.015
12.06;88.015
12.07;88.02
12.08;88.02
12.09;87.985
12.1;87.985
12.11;87.98
12.12;87.98
12.13;87.95
12.14;87.95
12.15;87.97
12.16;87.97
12.17;87.945
12.18;87.945
12.19;87.955
12.2;87.955
12.21;87.945
12.22;87.945
12.23;87.905
12.24;87.905
12.25;87.875
12.26;87.875
12.27;87.855
12.28;87.855
12.29;87.865
12.3;87.865
12.31;87.82
12.32;87.82
12.33;87.835
12.34;87.835
12.35;87.785
12.36;87.785
12.37;87.75
12.38;87.75
12.39;87.715
12.4;87.715
12.41;87.745
12.42;87.745
12.43;87.68
12.44;87.68
12.45;87.69
12.46;87.69
12.47;87.695
12.48;87.695
12.49;87.65
12.5;87.65
12.51;87.61
12.52;87.61
12.53;87.575
12.54;87.575
12.55;87.585
12.56;87.585
12.57;87.53
12.58;87.53
12.59;87.52
12.6;87.52
12.61;87.5
12.62;87.5
12.63;87.5
12.64;87.5
12.65;87.45
12.66;87.45
12.67;87.455
12.68;87.455
12.69;87.43
12.7;87.43
12.71;87.42
12.72;87.42
12.73;87.415
12.74;87.415
12.75;87.4
12.76;87.4
12.77;87.375
12.78;87.375
12.79;87.28
12.8;87.28
12.81;87.28
12.82;87.28
12.83;87.23
12.84;87.23
12.85;87.25
12.86;87.25
12.87;87.215
12.88;87.215
12.89;87.22
12.9;87.22
12.91;87.235
12.92;87.235
12.93;87.23
12.94;87.23
12.95;87.23
12.96;87.23
12.97;87.205
12.98;87.205
12.99;87.205
13;87.205
13.01;87.175
13.02;87.175
13.03;87.18
13.04;87.18
13.05;87.115
13.06;87.115
13.07;87.095
13.08;87.095
13.09;87.07
13.1;87.07
13.11;87.065
13.12;87.065
13.13;87.09
13.14;87.09
13.15;86.995
13.16;86.995
13.17;87.005
13.18;87.005
13.19;87.015
13.2;87.015
13.21;86.985
13.22;86.985
13.23;86.955
13.24;86.955
13.25;86.955
13.26;86.955
13.27;86.92
13.28;86.92
13.29;86.93
13.3;86.93
13.31;86.865
13.32;86.865
13.33;86.895
13.34;86.895
13.35;86.86
13.36;86.86
13.37;86.865
13.38;86.865
13.39;86.875
13.4;86.875
13.41;86.79
13.42;86.79
13.43;86.805
13.44;86.805
13.45;86.78
13.46;86.78
13.47;86.77
13.48;86.77
13.49;86.725
13.5;86.725
13.51;86.69
13.52;86.69
13.53;86.64
13.54;86.64
13.55;86.66
13.56;86.66
13.57;86.62
13.58;86.62
13.59;86.57
13.6;86.57
13.61;86.595
13.62;86.595
13.63;86.555
13.64;86.555
13.65;86.57
13.66;86.57
13.67;86.565
13.68;86.565
13.69;86.555
13.7;86.555
13.71;86.55
13.72;86.55
13.73;86.515
13.74;86.515
13.75;86.495
13.76;86.495
13.77;86.43
13.78;86.43
13.79;86.445
13.8;86.445
13.81;86.45
13.82;86.45
13.83;86.44
13.84;86.44
13.85;86.34
13.86;86.34
13.87;86.32
13.88;86.32
13.89;86.335
13.9;86.335
13.91;86.345
13.92;86.345
13.93;86.32
13.94;86.32
13.95;86.265
13.96;86.265
13.97;86.25
13.98;86.25
13.99;86.245
14;86.245
14.01;86.27
14.02;86.27
14.03;86.21
14.04;86.21
14.05;86.185
14.06;86.185
14.07;86.185
14.08;86.185
14.09;86.205
14.1;86.205
14.11;86.195
14.12;86.195
14.13;86.185
14.14;86.185
14.15;86.19
14.16;86.19
14.17;86.08
14.18;86.08
14.19;86.17
14.2;86.17
14.21;86.115
14.22;86.115
14.23;86
14.24;86
14.25;86.015
14.26;86.015
14.27;86.05
14.28;86.05
14.29;86.045
14.3;86.045
14.31;86.05
14.32;86.05
14.33;86.05
14.34;86.05
14.35;85.965
14.36;85.965
14.37;85.99
14.38;85.99
14.39;85.955
14.4;85.955
14.41;85.88
14.42;85.88
14.43;85.905
14.44;85.905
14.45;85.89
14.46;85.89
14.47;85.86
14.48;85.86
14.49;85.805
14.5;85.805
14.51;85.81
14.52;85.81
14.53;85.795
14.54;85.795
14.55;85.795
14.56;85.795
14.57;85.72
14.58;85.72
14.59;85.67
14.6;85.67
14.61;85.65
14.62;85.65
14.63;85.66
14.64;85.66
14.65;85.61
14.66;85.61
14.67;85.57
14.68;85.57
14.69;85.59
14.7;85.59
14.71;85.61
14.72;85.61
14.73;85.57
14.74;85.57
14.75;85.545
14.76;85.545
14.77;85.545
14.78;85.545
14.79;85.545
14.8;85.545
14.81;85.55
14.82;85.55
14.83;85.445
14.84;85.445
14.85;85.44
14.86;85.44
14.87;85.45
14.88;85.45
14.89;85.445
14.9;85.445
14.91;85.415
14.92;85.415
14.93;85.43
14.94;85.43
14.95;85.355
14.96;85.355
14.97;85.375
14.98;85.375
14.99;85.395
15;85.395
15.01;85.32
15.02;85.32
15.03;85.29
15.04;85.29
15.05;85.28
15.06;85.28
15.07;85.275
15.08;85.275
15.09;85.265
15.1;85.265
15.11;85.23
15.12;85.23
15.13;85.22
15.14;85.22
15.15;85.245
15.16;85.245
15.17;85.235
15.18;85.235
15.19;85.155
15.2;85.155
15.21;85.14
15.22;85.14
15.23;85.14
15.24;85.14
15.25;85.165
15.26;85.165
15.27;85.13
15.28;85.13
15.29;85.085
15.3;85.085
15.31;85.07
15.32;85.07
15.33;85.075
15.34;85.075
15.35;85.095
15.36;85.095
15.37;85.025
15.38;85.025
15.39;84.935
15.4;84.935
15.41;84.96
15.42;84.96
15.43;84.96
15.44;84.96
15.45;84.925
15.46;84.925
15.47;84.92
15.48;84.92
15.49;84.925
15.5;84.925
15.51;84.89
15.52;84.89
15.53;84.905
15.54;84.905
15.55;84.84
15.56;84.84
15.57;84.8
15.58;84.8
15.59;84.815
15.6;84.815
15.61;84.825
15.62;84.825
15.63;84.78
15.64;84.78
15.65;84.76
15.66;84.76
15.67;84.765
15.68;84.765
15.69;84.79
15.7;84.79
15.71;84.765
15.72;84.765
15.73;84.705
15.74;84.705
15.75;84.705
15.76;84.705
15.77;84.715
15.78;84.715
15.79;84.695
15.8;84.695
15.81;84.685
15.82;84.685
15.83;84.64
15.84;84.64
15.85;84.605
15.86;84.605
15.87;84.635
15.88;84.635
15.89;84.645
15.9;84.645
15.91;84.545
15.92;84.545
15.93;84.495
15.94;84.495
15.95;84.505
15.96;84.505
15.97;84.5
15.98;84.5
15.99;84.485
16;84.485
16.01;84.43
16.02;84.43
16.03;84.43
16.04;84.43
16.05;84.43
16.06;84.43
16.07;84.43
16.08;84.43
16.09;84.375
16.1;84.375
16.11;84.335
16.12;84.335
16.13;84.34
16.14;84.34
16.15;84.335
16.16;84.335
16.17;84.31
16.18;84.31
16.19;84.275
16.2;84.275
16.21;84.25
16.22;84.25
16.23;84.275
16.24;84.275
16.25;84.25
16.26;84.25
16.27;84.215
16.28;84.215
16.29;84.19
16.3;84.19
16.31;84.19
16.32;84.19
16.33;84.18
16.34;84.18
16.35;84.17
16.36;84.17
16.37;84.1
16.38;84.1
16.39;84.05
16.4;84.05
16.41;84.055
16.42;84.055
16.43;84.08
16.44;84.08
16.45;84.08
16.46;84.08
16.47;84.015
16.48;84.015
16.49;84.02
16.5;84.02
16.51;84.03
16.52;84.03
16.53;84.03
16.54;84.03
16.55;83.98
16.56;83.98
16.57;83.95
16.58;83.95
16.59;83.97
16.6;83.97
16.61;83.96
16.62;83.96
16.63;83.93
16.64;83.93
16.65;83.835
16.66;83.835
16.67;83.805
16.68;83.805
16.69;83.835
16.7;83.835
16.71;83.835
16.72;83.835
16.73;83.81
16.74;83.81
16.75;83.755
16.76;83.755
16.77;83.79
16.78;83.79
16.79;83.75
16.8;83.75
16.81;83.75
16.82;83.75
16.83;83.69
16.84;83.69
16.85;83.71
16.86;83.71
16.87;83.73
16.88;83.73
16.89;83.665
16.9;83.665
16.91;83.69
16.92;83.69
16.93;83.665
16.94;83.665
16.95;83.665
16.96;83.665
16.97;83.68
16.98;83.68
16.99;83.63
17;83.63
17.01;83.6
17.02;83.6
17.03;83.6
17.04;83.6
17.05;83.615
17.06;83.615
17.07;83.575
17.08;83.575
17.09;83.585
17.1;83.585
17.11;83.475
17.12;83.475
17.13;83.5
17.14;83.5
17.15;83.51
17.16;83.51
17.17;83.44
17.18;83.44
17.19;83.415
17.2;83.415
17.21;83.35
17.22;83.35
17.23;83.375
17.24;83.375
17.25;83.35
17.26;83.35
17.27;83.335
17.28;83.335
17.29;83.24
17.3;83.24
17.31;83.195
17.32;83.195
17.33;83.225
17.34;83.225
17.35;83.225
17.36;83.225
17.37;83.235
17.38;83.235
17.39;83.215
17.4;83.215
17.41;83.235
17.42;83.235
17.43;83.225
17.44;83.225
17.45;83.18
17.46;83.18
17.47;83.175
17.48;83.175
17.49;83.12
17.5;83.12
17.51;83.14
17.52;83.14
17.53;83.085
17.54;83.085
